Instance Name,Nominal Voltage,Internal Power,Switch Power,Leakage Power,Total Power
io_debug_pc[18]_reg_p_D_OAI33X1P4H7L_Y_A2_MUXI2X0P5H7L_Y,1.2,4.325e-03,0.000e+00,2.559e-09,4.325e-03
io_debug_pc[5]_reg_p_D_AOI211X0P5H7L_Y_B0_MUX2X0P5H7L_Y,1.2,4.084e-03,0.000e+00,2.104e-09,4.084e-03
io_debug_pc[20]_reg_p_D_AO221X0P5H7L_Y_C0_MUX2X0P5H7L_Y,1.2,3.735e-03,0.000e+00,2.220e-09,3.735e-03
io_debug_pc[5]_reg_p_D_AOI211X0P5H7L_Y,1.2,3.696e-03,0.000e+00,6.779e-10,3.696e-03
icache.resp_data_reg_31__reg_p_D_OAI211X1P4H7L_Y,1.2,3.670e-03,0.000e+00,6.432e-10,3.670e-03
icache.s1_ready_NOR3X0P5H7L_B_Y_AND4X0P5H7L_B_Y_AOAI211X1P4H7L_C0_A1_NOR4BX0P5H7L_Y_D_OR3X1H7L_A_Y_BUFX3P5H7L_A,1.2,3.634e-03,0.000e+00,2.428e-09,3.634e-03
icache.resp_data_reg_7__reg_p_D_OAI211X1P4H7L_Y,1.2,3.631e-03,0.000e+00,6.577e-10,3.631e-03
_icache_io_access_fault_resp_1__reg_p_D_OAI33X1P4H7L_Y,1.2,3.528e-03,0.000e+00,8.654e-10,3.528e-03
_icache_io_access_fault_resp_0__reg_p_D_OAI33X1P4H7L_Y,1.2,3.528e-03,0.000e+00,8.654e-10,3.528e-03
BitsReg_1_pred_target_14__NAND2X0P5H7L_B_Y_NOR2X0P5H7L_B_Y_OAOI211X0P5H7L_A0_Y_AOI32X0P5H7L_B0,1.2,3.398e-03,0.000e+00,7.752e-10,3.398e-03
icache.resp_data_reg_9__reg_p_D_AO22X0P7H7L_Y_B0_MUX2X0P5H7L_Y_S0_BUFX12H7L_A,1.2,3.390e-03,0.000e+00,8.413e-09,3.390e-03
io_debug_pc[20]_reg_p_D_AO221X0P5H7L_Y_C0_MUX2X0P5H7L_Y_S0_INVX10H7L_Y,1.2,3.364e-03,0.000e+00,4.489e-09,3.364e-03
icache.burst_mode_reg_p_D_OAOI211X1P4H7L_Y_B0_NAND4X1P4H7L_Y,1.2,3.325e-03,0.000e+00,2.926e-10,3.325e-03
io_debug_pc[4]_reg_p_D_AOI31X1P4H7L_Y_A2_NAND3X0P5H7L_Y,1.2,3.294e-03,0.000e+00,3.839e-10,3.294e-03
io_debug_pc[25]_reg_p_D_OAI21X0P5H7L_Y_B0_AOI32X0P5H7L_Y_A2_MUX2X0P5H7L_Y_A_OAI32X0P5H7L_A2_Y_OR4X3H7L_B_D_OR4X1P4H7L_Y,1.2,2.904e-03,0.000e+00,1.728e-09,2.904e-03
io_debug_pc[4]_reg_p_D_AOI31X1P4H7L_Y_A0_OAI21X1P4H7L_Y,1.2,2.826e-03,0.000e+00,9.380e-10,2.826e-03
pred_tag_target_1__AOI2BB1X1P4H7L_A0N,1.2,2.801e-03,0.000e+00,1.742e-09,2.801e-03
io_debug_pc[10]_reg_p_D_AO221X0P5H7L_Y_C0_OAOI211X0P5H7L_Y,1.2,2.740e-03,0.000e+00,6.776e-10,2.740e-03
pred_tag_target_30__reg_p_D_AOI211X1P4H7L_Y,1.2,2.666e-03,0.000e+00,7.934e-10,2.666e-03
io_debug_pc[10]_reg_p_D_AO221X0P5H7L_Y_C0_OAOI211X0P5H7L_Y_A0_AOI32X0P5H7L_B1,1.2,2.619e-03,0.000e+00,7.750e-10,2.619e-03
pred_tag_target_20__reg_p_D_AOI211X1P4H7L_Y,1.2,2.515e-03,0.000e+00,7.624e-10,2.515e-03
pred_tag_target_25__reg_p_D_AOI211X1P4H7L_Y,1.2,2.515e-03,0.000e+00,7.624e-10,2.515e-03
pred_tag_target_18__reg_p_D_AOI211X1P4H7L_Y,1.2,2.515e-03,0.000e+00,7.624e-10,2.515e-03
pred_tag_target_21__reg_p_D_AOI211X1P4H7L_Y,1.2,2.514e-03,0.000e+00,7.624e-10,2.514e-03
pred_tag_target_22__reg_p_D_AOI211X1P4H7L_Y,1.2,2.513e-03,0.000e+00,7.624e-10,2.513e-03
pred_tag_target_14__reg_p_D_AOI211X1P4H7L_Y,1.2,2.466e-03,0.000e+00,7.518e-10,2.466e-03
pred_tag_target_29__reg_p_D_AOI211X1P4H7L_Y,1.2,2.464e-03,0.000e+00,7.518e-10,2.464e-03
BitsReg_1_pred_target_28__NOR2BX1H7L_AN_Z_OAI211X0P7H7L_A1_Y_OAI2BB1X0P5H7L_B0_Y_OAI21X0P5H7L_A1_Y_OAI211X1P4H7L_C0,1.2,2.435e-03,0.000e+00,6.474e-10,2.435e-03
