现在指定了镜像文件
文件加载了: /home/abc/ysyx-workbench/am-kernels/benchmarks/microbench/build/microbench-riscv32i-ysyxsoc.bin, size = 29280 bytes
[C++ DUT] step cycle=0
[C++ DUT] step cycle=1
[C++ DUT] step cycle=2
[C++ DUT] step cycle=3
[C++ DUT] step cycle=4
[MTRACE] valid wen=0 addr=0x300001c0 wdata=0x00000000 rdata=0x00008067
[MTRACE] valid wen=1 addr=0xa00000c0 wdata=0x00008067 rdata=0x00008067
[MTRACE] valid wen=0 addr=0x300001c4 wdata=0x00000000 rdata=0x00058a13
[MTRACE] valid wen=1 addr=0xa00000c4 wdata=0x00058a13 rdata=0x00058a13
[MTRACE] valid wen=0 addr=0x300001c8 wdata=0x00000000 rdata=0xf61ff06f
[MTRACE] valid wen=1 addr=0xa00000c8 wdata=0xf61ff06f rdata=0xf61ff06f
[MTRACE] valid wen=0 addr=0x300001cc wdata=0x00000000 rdata=0xfe010113
[MTRACE] valid wen=1 addr=0xa00000cc wdata=0xfe010113 rdata=0xfe010113
[MTRACE] valid wen=0 addr=0x300001d0 wdata=0x00000000 rdata=0x00100513
[MTRACE] valid wen=1 addr=0xa00000d0 wdata=0x00100513 rdata=0x00100513
[MTRACE] valid wen=0 addr=0x300001d4 wdata=0x00000000 rdata=0x00112e23
[MTRACE] valid wen=1 addr=0xa00000d4 wdata=0x00112e23 rdata=0x00112e23
[MTRACE] valid wen=0 addr=0x300001d8 wdata=0x00000000 rdata=0x01212823
[MTRACE] valid wen=1 addr=0xa00000d8 wdata=0x01212823 rdata=0x01212823
[MTRACE] valid wen=0 addr=0x300001dc wdata=0x00000000 rdata=0x01312623
[MTRACE] valid wen=1 addr=0xa00000dc wdata=0x01312623 rdata=0x01312623
[MTRACE] valid wen=0 addr=0x300001e0 wdata=0x00000000 rdata=0x5b4040ef
[MTRACE] valid wen=1 addr=0xa00000e0 wdata=0x5b4040ef rdata=0x5b4040ef
[MTRACE] valid wen=0 addr=0x300001e4 wdata=0x00000000 rdata=0x00007797
[MTRACE] valid wen=1 addr=0xa00000e4 wdata=0x00007797 rdata=0x00007797
[MTRACE] valid wen=0 addr=0x300001e8 wdata=0x00000000 rdata=0x10c7a783
[MTRACE] valid wen=1 addr=0xa00000e8 wdata=0x10c7a783 rdata=0x10c7a783
[MTRACE] valid wen=0 addr=0x300001ec wdata=0x00000000 rdata=0x00007917
[MTRACE] valid wen=1 addr=0xa00000ec wdata=0x00007917 rdata=0x00007917
[MTRACE] valid wen=0 addr=0x300001f0 wdata=0x00000000 rdata=0x09890913
[MTRACE] valid wen=1 addr=0xa00000f0 wdata=0x09890913 rdata=0x09890913
[MTRACE] valid wen=0 addr=0x300001f4 wdata=0x00000000 rdata=0x00007997
[MTRACE] valid wen=1 addr=0xa00000f4 wdata=0x00007997 rdata=0x00007997
[MTRACE] valid wen=0 addr=0x300001f8 wdata=0x00000000 rdata=0x08c98993
[MTRACE] valid wen=1 addr=0xa00000f8 wdata=0x08c98993 rdata=0x08c98993
[MTRACE] valid wen=0 addr=0x300001fc wdata=0x00000000 rdata=0x0007a783
[MTRACE] valid wen=1 addr=0xa00000fc wdata=0x0007a783 rdata=0x0007a783
[MTRACE] valid wen=0 addr=0x30000200 wdata=0x00000000 rdata=0x00279513
[MTRACE] valid wen=1 addr=0xa0000100 wdata=0x00279513 rdata=0x00279513
[MTRACE] valid wen=0 addr=0x30000204 wdata=0x00000000 rdata=0x00f92023
[MTRACE] valid wen=1 addr=0xa0000104 wdata=0x00f92023 rdata=0x00f92023
[MTRACE] valid wen=0 addr=0x30000208 wdata=0x00000000 rdata=0x4e8040ef
