分支BTB组数,分支BTB相联度,jalBTB组数,jalBTB相联度,算法,总分支,正确,误预测,准确率(%),分支总数,分支正确,分支准确率(%),jal总数,jal正确,jal准确率(%)
64,2,8,1,BTFN+SharedJal,276831713,228769214,48062499,82.64,244368073,198110645,81.07,32463640,30658569,94.44
64,2,32,1,BTFN+SharedJal,276831713,228769214,48062499,82.64,244368073,198110645,81.07,32463640,30658569,94.44
64,2,8,2,BTFN+SharedJal,276831713,228769214,48062499,82.64,244368073,198110645,81.07,32463640,30658569,94.44
64,2,16,4,BTFN+SharedJal,276831713,228769214,48062499,82.64,244368073,198110645,81.07,32463640,30658569,94.44
64,2,4,1,BTFN+SharedJal,276831713,228769214,48062499,82.64,244368073,198110645,81.07,32463640,30658569,94.44
64,2,16,2,BTFN+SharedJal,276831713,228769214,48062499,82.64,244368073,198110645,81.07,32463640,30658569,94.44
64,2,4,2,BTFN+SharedJal,276831713,228769214,48062499,82.64,244368073,198110645,81.07,32463640,30658569,94.44
64,2,4,4,BTFN+SharedJal,276831713,228769214,48062499,82.64,244368073,198110645,81.07,32463640,30658569,94.44
64,4,4,4,BTFN+SplitJal,276831713,228719407,48112306,82.62,244368073,198307708,81.15,32463640,30411699,93.68
64,4,4,1,BTFN+SplitJal,276831713,228719366,48112347,82.62,244368073,198307708,81.15,32463640,30411658,93.68
64,4,4,2,BTFN+SplitJal,276831713,228719366,48112347,82.62,244368073,198307708,81.15,32463640,30411658,93.68
64,1,64,4,BTFN+SharedJal,276831713,228713521,48118192,82.62,244368073,198069649,81.05,32463640,30643872,94.39
64,1,64,2,BTFN+SharedJal,276831713,228713521,48118192,82.62,244368073,198069649,81.05,32463640,30643872,94.39
64,1,64,1,BTFN+SharedJal,276831713,228713521,48118192,82.62,244368073,198069649,81.05,32463640,30643872,94.39
64,1,32,4,BTFN+SharedJal,276831713,228713521,48118192,82.62,244368073,198069649,81.05,32463640,30643872,94.39
64,1,32,2,BTFN+SharedJal,276831713,228713521,48118192,82.62,244368073,198069649,81.05,32463640,30643872,94.39
64,1,32,1,BTFN+SharedJal,276831713,228713521,48118192,82.62,244368073,198069649,81.05,32463640,30643872,94.39
64,1,16,4,BTFN+SharedJal,276831713,228713521,48118192,82.62,244368073,198069649,81.05,32463640,30643872,94.39
64,1,16,2,BTFN+SharedJal,276831713,228713521,48118192,82.62,244368073,198069649,81.05,32463640,30643872,94.39
64,1,16,1,BTFN+SharedJal,276831713,228713521,48118192,82.62,244368073,198069649,81.05,32463640,30643872,94.39
64,1,8,4,BTFN+SharedJal,276831713,228713521,48118192,82.62,244368073,198069649,81.05,32463640,30643872,94.39
64,1,8,2,BTFN+SharedJal,276831713,228713521,48118192,82.62,244368073,198069649,81.05,32463640,30643872,94.39
64,1,8,1,BTFN+SharedJal,276831713,228713521,48118192,82.62,244368073,198069649,81.05,32463640,30643872,94.39
64,1,4,4,BTFN+SharedJal,276831713,228713521,48118192,82.62,244368073,198069649,81.05,32463640,30643872,94.39
64,1,4,2,BTFN+SharedJal,276831713,228713521,48118192,82.62,244368073,198069649,81.05,32463640,30643872,94.39
64,1,4,1,BTFN+SharedJal,276831713,228713521,48118192,82.62,244368073,198069649,81.05,32463640,30643872,94.39
32,4,4,4,BTFN+SplitJal,276831713,228621178,48210535,82.58,244368073,198209479,81.11,32463640,30411699,93.68
32,4,4,2,BTFN+SplitJal,276831713,228621137,48210576,82.58,244368073,198209479,81.11,32463640,30411658,93.68
32,4,4,1,BTFN+SplitJal,276831713,228621137,48210576,82.58,244368073,198209479,81.11,32463640,30411658,93.68
32,1,4,4,BTFN+SplitJal,276831713,228577580,48254133,82.57,244368073,198165881,81.09,32463640,30411699,93.68
32,2,4,4,BTFN+SplitJal,276831713,228577547,48254166,82.57,244368073,198165848,81.09,32463640,30411699,93.68
32,1,4,2,BTFN+SplitJal,276831713,228577539,48254174,82.57,244368073,198165881,81.09,32463640,30411658,93.68
32,1,4,1,BTFN+SplitJal,276831713,228577539,48254174,82.57,244368073,198165881,81.09,32463640,30411658,93.68
32,2,4,1,BTFN+SplitJal,276831713,228577506,48254207,82.57,244368073,198165848,81.09,32463640,30411658,93.68
32,2,4,2,BTFN+SplitJal,276831713,228577506,48254207,82.57,244368073,198165848,81.09,32463640,30411658,93.68
64,2,4,4,BTFN+SplitJal,276831713,228554052,48277661,82.56,244368073,198142353,81.08,32463640,30411699,93.68
64,2,4,1,BTFN+SplitJal,276831713,228554011,48277702,82.56,244368073,198142353,81.08,32463640,30411658,93.68
64,2,4,2,BTFN+SplitJal,276831713,228554011,48277702,82.56,244368073,198142353,81.08,32463640,30411658,93.68
64,1,4,4,BTFN+SplitJal,276831713,228534661,48297052,82.55,244368073,198122962,81.08,32463640,30411699,93.68
64,1,4,2,BTFN+SplitJal,276831713,228534620,48297093,82.55,244368073,198122962,81.08,32463640,30411658,93.68
64,1,4,1,BTFN+SplitJal,276831713,228534620,48297093,82.55,244368073,198122962,81.08,32463640,30411658,93.68
32,2,8,2,BTFN+SharedJal,276831713,228509143,48322570,82.54,244368073,198158499,81.09,32463640,30350644,93.49
