record_type,step,pc,inst,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,mem_access,mem_width,pa_shifted,va_raw,value
MEM,43,,,,,,,,,,,,,,,,,,,READ,BYTE,0x000147f4,0x00051fd0,0x00000000
STEP,44,0x00000134,0x00420233,0x00000000,0x0000123c,0x00051fe0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x0003d600,0x000496b0,0x00049600,0x00000000,0x00000000,0x00049690,0x000496b0,0x00000000,,,,,
MEM,44,,,,,,,,,,,,,,,,,,,READ,WORD,0x0000004d,0x00000134,0x00420233
STEP,45,0x00000138,0x00420233,0x00000000,0x0000123c,0x00051fe0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x0003d600,0x000496b0,0x00049600,0x00000000,0x00000000,0x00049690,0x000496b0,0x00000000,,,,,
MEM,45,,,,,,,,,,,,,,,,,,,READ,WORD,0x0000004e,0x00000138,0x00420233
STEP,46,0x0000013c,0x00440233,0x00000000,0x0000123c,0x00051fe0,0x00000000,0x0003d600,0x00000000,0x00000000,0x00000000,0x0003d600,0x000496b0,0x00049600,0x00000000,0x00000000,0x00049690,0x000496b0,0x00000000,,,,,
MEM,46,,,,,,,,,,,,,,,,,,,READ,WORD,0x0000004f,0x0000013c,0x00440233
STEP,47,0x00000140,0x00022203,0x00000000,0x0000123c,0x00051fe0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x0003d600,0x000496b0,0x00049600,0x00000000,0x00000000,0x00049690,0x000496b0,0x00000000,,,,,
MEM,47,,,,,,,,,,,,,,,,,,,READ,WORD,0x00000050,0x00000140,0x00022203
MEM,47,,,,,,,,,,,,,,,,,,,READ,WORD,0x0000f580,0x0003d600,0x00000000
STEP,48,0x00000144,0xfe412223,0x00000000,0x0000123c,0x00051fe0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x0003d600,0x000496b0,0x00049600,0x00000000,0x00000000,0x00049690,0x000496b0,0x00000000,,,,,
MEM,48,,,,,,,,,,,,,,,,,,,READ,WORD,0x00000051,0x00000144,0xfe412223
MEM,48,,,,,,,,,,,,,,,,,,,WRITE,WORD,0x000147f1,0x00051fc4,0x00000000
STEP,49,0x00000148,0xfed14183,0x00000000,0x0000123c,0x00051fe0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x0003d600,0x000496b0,0x00049600,0x00000000,0x00000000,0x00049690,0x000496b0,0x00000000,,,,,
MEM,49,,,,,,,,,,,,,,,,,,,READ,WORD,0x00000052,0x00000148,0xfed14183
MEM,49,,,,,,,,,,,,,,,,,,,READ,BYTE,0x000147f3,0x00051fcd,0x00000000
STEP,50,0x0000014c,0xfea14203,0x00000000,0x0000123c,0x00051fe0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x0003d600,0x000496b0,0x00049600,0x00000000,0x00000000,0x00049690,0x000496b0,0x00000000,,,,,
MEM,50,,,,,,,,,,,,,,,,,,,READ,WORD,0x00000053,0x0000014c,0xfea14203
MEM,50,,,,,,,,,,,,,,,,,,,READ,BYTE,0x000147f2,0x00051fca,0x00000000
STEP,51,0x00000150,0x004181b3,0x00000000,0x0000123c,0x00051fe0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x0003d600,0x000496b0,0x00049600,0x00000000,0x00000000,0x00049690,0x000496b0,0x00000000,,,,,
MEM,51,,,,,,,,,,,,,,,,,,,READ,WORD,0x00000054,0x00000150,0x004181b3
STEP,52,0x00000154,0xfe714203,0x00000000,0x0000123c,0x00051fe0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x0003d600,0x000496b0,0x00049600,0x00000000,0x00000000,0x00049690,0x000496b0,0x00000000,,,,,
MEM,52,,,,,,,,,,,,,,,,,,,READ,WORD,0x00000055,0x00000154,0xfe714203
MEM,52,,,,,,,,,,,,,,,,,,,READ,BYTE,0x000147f1,0x00051fc7,0x00000000
